,0,1
0,a,0.0381
1,aa,0.00055
2,aaa,0.00015
3,aaaaa,5e-05
4,aaaaaa,5e-05
5,aaaalie,5e-05
6,aaali,5e-05
7,aac,5e-05
8,aafp,0.0
9,aaliye,0.0
10,aam,5e-05
11,ab,0.00205
12,abbas,5e-05
13,abbaskhani,0.0
14,abc,5e-05
15,abcdef,5e-05
16,abd,5e-05
17,abdi,5e-05
18,abe,0.00015
19,abisho,5e-05
20,abolfazl,0.0
21,about,0.0
22,abp,0.0
23,abs,5e-05
24,absolution,0.0
25,absorber,0.0
26,abtin,0.0
27,abxy,0.0
28,abz,0.0
29,ac,0.0019
30,aca,0.0
31,acc,5e-05
32,acceleration,0.0
33,access,0.0
34,accessibility,0.0
35,accessories,0.0
36,accofy,0.0
37,account,0.0
38,accountmi,0.0
39,accounts,0.0
40,accumed,0.0
41,accustrike,0.0
42,accutone,0.0
43,acd,0.0
44,ace,0.00045
45,acea,0.0
46,acer,0.0001
47,acerasus,0.0
48,achievement,0.0
49,acid,5e-05
50,acl,0.0
51,acm,0.0
52,acmarket,0.0
53,acne,0.0
54,acneprone,0.0
55,acnesome,0.0
56,acoustic,0.0
57,acronis,0.0
58,acs,0.0
59,acsend,0.0
60,act,0.0002
61,action,5e-05
62,actions,0.0
63,actipur,0.0
64,activ,5e-05
65,activation,0.0
66,active,5e-05
67,activity,0.0
68,ad,0.0039
69,adapt,0.0
70,adapter,0.0
71,adaptive,0.0
72,adaptor,0.0
73,adata,5e-05
74,adataenergizer,0.0
75,add,0.00015
76,addario,0.0
77,addict,0.0
78,additional,5e-05
79,addon,0.0
80,adelight,5e-05
81,adf,0.0
82,adhoc,0.0
83,adicolor,0.0
84,adidas,5e-05
85,adisuper,0.0
86,aditore,0.0
87,adj,0.0
88,adjust,0.0
89,adler,0.0
90,admin,0.0
91,adminastator,0.0
92,administrative,0.0
93,adobe,0.0
94,adobergb,0.0
95,adonit,0.0
96,adoniza,0.0
97,adoptor,0.0
98,adreno,0.0
99,adsl,0.0002
100,adult,0.0
101,adv,5e-05
102,advance,0.0
103,advanced,0.0
104,advancednetwork,0.0
105,adventures,0.0
106,adventusa,5e-05
107,advnaced,0.0
108,ae,0.00045
109,aedes,0.0
110,aee,0.0
111,aeg,5e-05
112,aegis,0.0
113,aegisub,0.0
114,aep,0.0
115,aes,0.0
116,aet,0.0001
117,af,0.0007
118,afdfffffffff,5e-05
119,aff,0.0
120,affordable,0.0
121,afgano,0.0
122,afghan,0.0
123,afghano,0.0
124,afiee,0.0
125,afp,0.0
126,african,0.0
127,afshar,0.0001
128,after,0.0001
129,afterburner,0.0
130,aftereffect,0.0
131,aftereffects,0.0
132,ag,0.00175
133,against,0.0
134,age,0.00065
135,agh,0.0007
136,agha,0.0004
137,aghaye,5e-05
138,agm,0.0
139,agriculture,5e-05
140,agv,0.0
141,ah,0.00185
142,aha,0.0005
143,ahci,0.0
144,ahd,0.0002
145,ahmadreza,0.0
146,ahmdzare,0.0
147,ahriman,0.0
148,ahukewidpkpu,0.0
149,ai,0.00105
150,aibcon,0.0
151,aid,0.0
152,aida,0.0
153,aigner,0.0
154,aih,0.0
155,aiko,0.0
156,air,0.00035
157,aircard,0.0
158,airdots,0.0
159,airdrop,0.0
160,airmaster,0.0
161,airnef,0.0
162,airpad,0.0
163,airplane,0.0
164,airplay,0.0
165,airpod,5e-05
166,airpods,5e-05
167,aisence,0.0
168,ajsc,0.0
169,ak,0.0015
170,ake,0.0007
171,akeifiat,5e-05
172,akg,0.0
173,akhar,5e-05
174,akharin,0.0
175,akm,0.0
176,aks,0.0001
177,al,0.0061
178,alac,0.0
179,alakiyeeeeee,5e-05
180,alan,5e-05
181,alanam,0.0
182,alarm,0.0
183,alasing,0.0
184,albate,5e-05
185,alc,5e-05
186,alcatel,0.0
187,alchemist,0.0
188,alcino,0.0
189,alert,0.0
190,alexa,0.0
191,alfa,0.0
192,ali,0.00125
193,alibaba,0.0
194,alibodali,0.0
195,alie,0.0002
196,alieh,5e-05
197,alien,5e-05
198,aliens,0.0
199,alienware,0.0
200,aligh,0.0
201,aliiii,5e-05
202,alimekzikibabol,0.0
203,alinezhad,0.0
204,alipoor,0.0
205,alira,5e-05
206,alireza,0.0001
207,alirezamirbagheri,0.0
208,alive,0.0
209,aliw,0.0
210,aliyaghoobi,0.0
211,aliye,5e-05
212,alizade,0.0
213,alkaline,5e-05
214,alkham,0.0
215,all,0.00085
216,allaround,0.0
217,allinone,0.0
218,allliiii,5e-05
219,allow,0.0
220,allure,0.0
221,almost,0.0
222,aln,5e-05
223,alo,0.0002
224,aloe,0.0
225,alomed,0.0
226,alone,0.0
227,alosa,0.0
228,alpecin,0.0
229,alpha,0.0
230,alphabet,0.0
231,alt,0.0001
232,aluminium,0.0
233,alvand,0.0
234,always,0.0001
235,alx,0.0
236,alydrena,0.0
237,am,0.00785
238,ama,0.00055
239,amazfit,5e-05
240,amazing,0.0
241,amazit,0.0
242,amazon,5e-05
243,amaztools,0.0
244,ambient,0.0
245,amblight,0.0
246,ambolight,0.0
247,amd,0.0002
248,amen,0.0
249,american,0.0
250,amin,0.0003
251,amini,0.0001
252,aminm,0.0
253,amir,0.0002
254,amira,0.0
255,amirali,0.0
256,amiralifr,0.0
257,amirhoseyn,0.0
258,amirhossein,0.0
259,amirhosseyn,5e-05
260,amiri,0.0
261,amj,0.0
262,amma,0.0004
263,ammonium,0.0
264,amol,0.0
265,amold,0.0
266,amoled,0.0
267,amooakkas,0.0
268,amor,0.0
269,amount,0.0
270,amozesh,0.0
271,amp,0.003
272,ampamp,0.0
273,ampampugreen,0.0
274,ampere,5e-05
275,ampgt,0.0
276,amplifer,0.0
277,amplitube,0.0
278,ampquot,0.0
279,ampquotamp,0.0
280,ampquotampquot,0.0
281,amti,0.0
282,amuage,0.0
283,amui,0.0
284,amva,0.0
285,amw,0.0001
