,0
a,0.0326
aa,5.714285714285714e-05
aaa,2.1428571428571428e-05
aaaaa,7.142857142857143e-06
aaaaaa,0.0
aaaalie,0.0
aaali,0.0
aac,0.0
aafp,0.0
aaliye,0.0
aam,0.0
ab,0.0009571428571428571
abbas,0.0
abbaskhani,0.0
abc,7.142857142857143e-06
abcdef,0.0
abd,0.0
abdi,0.0
abe,2.1428571428571428e-05
abisho,0.0
abolfazl,0.0
about,2.857142857142857e-05
abp,7.142857142857143e-06
abs,5.714285714285714e-05
absolution,0.0
absorber,0.0
abtin,0.0
abxy,0.0
abz,0.0
ac,0.0021785714285714286
aca,3.571428571428572e-05
acc,5.714285714285714e-05
acceleration,7.142857142857143e-06
access,1.4285714285714285e-05
accessibility,7.142857142857143e-06
accessories,0.0
accofy,7.142857142857143e-06
account,2.1428571428571428e-05
accountmi,0.0
accounts,7.142857142857143e-06
accumed,7.142857142857143e-06
accustrike,0.0
accutone,0.0
acd,0.0
ace,0.0006
acea,0.0
acer,0.00012857142857142858
acerasus,0.0
achievement,0.0
acid,0.0
acl,7.142857142857143e-06
acm,7.142857142857143e-06
acmarket,7.142857142857143e-06
acne,0.0
acneprone,0.0
acnesome,0.0
acoustic,7.142857142857143e-06
acronis,0.0
acs,1.4285714285714285e-05
acsend,7.142857142857143e-06
act,0.00019285714285714286
action,0.0
actions,0.0
actipur,7.142857142857143e-06
activ,5.714285714285714e-05
activation,7.142857142857143e-06
active,2.857142857142857e-05
activity,1.4285714285714285e-05
ad,0.0027642857142857143
adapt,7.142857142857143e-06
adapter,7.142857142857143e-06
adaptive,0.0
adaptor,0.0
adata,0.0002642857142857143
adataenergizer,0.0
add,0.0001
addario,7.142857142857143e-06
addict,7.142857142857143e-06
additional,7.142857142857143e-06
addon,7.142857142857143e-06
adelight,0.0
adf,2.1428571428571428e-05
adhoc,0.0
adicolor,0.0
adidas,3.571428571428572e-05
adisuper,0.0
aditore,7.142857142857143e-06
adj,7.142857142857143e-06
adjust,0.0
adler,0.0
admin,4.2857142857142856e-05
adminastator,7.142857142857143e-06
administrative,0.0
adobe,1.4285714285714285e-05
adobergb,0.0
adonit,0.0
adoniza,0.0
adoptor,0.0
adreno,2.857142857142857e-05
adsl,0.00012142857142857143
adult,7.142857142857143e-06
adv,7.142857142857143e-05
advance,5.714285714285714e-05
advanced,3.571428571428572e-05
advancednetwork,0.0
adventures,7.142857142857143e-06
adventusa,0.0
advnaced,7.142857142857143e-06
ae,0.00010714285714285714
aedes,0.0
aee,7.142857142857143e-06
aeg,2.1428571428571428e-05
aegis,0.0
aegisub,0.0
aep,0.0
aes,7.142857142857143e-06
aet,0.0
af,0.00027142857142857144
afdfffffffff,0.0
aff,1.4285714285714285e-05
affordable,0.0
afgano,0.0
afghan,1.4285714285714285e-05
afghano,7.142857142857143e-06
afiee,0.0
afp,0.0
african,0.0
afshar,0.0
after,1.4285714285714285e-05
afterburner,7.142857142857143e-06
aftereffect,0.0
aftereffects,0.0
ag,0.0008785714285714285
against,7.142857142857143e-06
age,0.0003785714285714286
agh,2.1428571428571428e-05
agha,1.4285714285714285e-05
aghaye,0.0
agm,0.0
agriculture,0.0
agv,7.142857142857143e-06
ah,0.0003785714285714286
aha,7.857142857142857e-05
ahci,7.142857142857143e-06
ahd,3.571428571428572e-05
ahmadreza,7.142857142857143e-06
ahmdzare,0.0
ahriman,7.142857142857143e-06
ahukewidpkpu,0.0
ai,0.0009642857142857143
aibcon,0.0
aid,5.714285714285714e-05
aida,0.0
aigner,0.0
aih,0.0
aiko,0.0
air,0.00042857142857142855
aircard,7.142857142857143e-06
airdots,0.0
airdrop,7.142857142857143e-06
airmaster,7.142857142857143e-06
airnef,7.142857142857143e-06
airpad,7.142857142857143e-06
airplane,7.142857142857143e-06
airplay,0.0
airpod,2.857142857142857e-05
airpods,0.0
aisence,7.142857142857143e-06
ajsc,0.0
ak,0.0005214285714285714
ake,0.00025
akeifiat,0.0
akg,5e-05
akhar,0.0
akharin,0.0
akm,0.0
aks,0.0
al,0.004435714285714286
alac,7.142857142857143e-06
alakiyeeeeee,0.0
alan,4.2857142857142856e-05
alanam,7.142857142857143e-06
alarm,2.1428571428571428e-05
alasing,0.0
albate,0.0
alc,6.428571428571429e-05
alcatel,7.142857142857143e-06
alchemist,0.0
alcino,0.0
alert,7.142857142857143e-06
alexa,0.0
alfa,7.142857142857143e-06
ali,0.0003214285714285714
alibaba,0.0
alibodali,0.0
alie,2.1428571428571428e-05
alieh,0.0
alien,2.1428571428571428e-05
aliens,0.0
alienware,2.1428571428571428e-05
aligh,7.142857142857143e-06
aliiii,0.0
alimekzikibabol,0.0
alinezhad,0.0
alipoor,0.0
alira,0.0
alireza,1.4285714285714285e-05
alirezamirbagheri,0.0
alive,7.142857142857143e-06
aliw,0.0
aliyaghoobi,7.142857142857143e-06
aliye,0.0
alizade,7.142857142857143e-06
alkaline,0.0
alkham,7.142857142857143e-06
all,0.0006357142857142857
allaround,0.0
allinone,0.0
allliiii,0.0
allow,1.4285714285714285e-05
allure,0.0
almost,7.142857142857143e-06
aln,7.142857142857143e-06
alo,0.00012142857142857143
aloe,0.0
alomed,0.0
alone,7.142857142857143e-06
alosa,0.0
alpecin,0.0
alpha,1.4285714285714285e-05
alphabet,0.0
alt,0.00027142857142857144
aluminium,0.0
alvand,7.142857142857143e-06
always,2.857142857142857e-05
alx,7.142857142857143e-06
alydrena,7.142857142857143e-06
am,0.00405
ama,0.00015714285714285713
amazfit,2.1428571428571428e-05
amazing,1.4285714285714285e-05
amazit,7.142857142857143e-06
amazon,7.142857142857143e-06
amaztools,0.0
ambient,7.142857142857143e-06
amblight,0.0
ambolight,7.142857142857143e-06
amd,0.00013571428571428572
amen,1.4285714285714285e-05
american,7.142857142857143e-06
amin,0.0002
amini,7.142857142857143e-06
aminm,0.0
amir,4.2857142857142856e-05
amira,0.0
amirali,0.0
amiralifr,0.0
amirhoseyn,7.142857142857143e-06
amirhossein,7.142857142857143e-06
amirhosseyn,0.0
amiri,0.0
amj,7.142857142857143e-06
amma,0.00011428571428571428
ammonium,0.0
amol,0.00012142857142857143
amold,7.142857142857143e-06
amoled,0.00010714285714285714
amooakkas,0.0
amor,7.142857142857143e-06
amount,0.0
amozesh,0.0
amp,0.0005
ampamp,0.0
ampampugreen,0.0
ampere,1.4285714285714285e-05
ampgt,0.0
amplifer,7.142857142857143e-06
amplitube,0.0
ampquot,0.0
ampquotamp,0.0
ampquotampquot,0.0
amti,0.0
amuage,7.142857142857143e-06
amui,7.142857142857143e-06
amva,0.0
amw,7.142857142857143e-06
an,0.004871428571428572
anaconda,7.142857142857143e-06
anahita,7.142857142857143e-06
analog,1.4285714285714285e-05
analyse,0.0
analysis,0.0
anc,0.00040714285714285717
anchors,0.0
and,0.0018071428571428572
andazashe,0.0
andaze,0.0
andis,5.714285714285714e-05
andiya,0.0
andoneze,0.0
andorid,0.0
andrea,0.0
andreas,0.0
androbench,0.0
android,8.571428571428571e-05
andze,0.0
angiz,0.0
angle,2.1428571428571428e-05
angry,0.0
anh,7.142857142857143e-06
anhalt,0.0
ani,0.00017857142857142857
anika,7.142857142857143e-06
animal,7.142857142857143e-06
anker,6.428571428571429e-05
annex,0.0
anniversary,0.0
another,7.142857142857143e-06
anr,7.142857142857143e-06
ansi,2.1428571428571428e-05
answer,1.4285714285714285e-05
answering,0.0
antenna,7.142857142857143e-06
anti,7.142857142857143e-06
antifreeze,0.0
antiglare,0.0
antutu,5e-05
anyone,0.0
anypen,7.142857142857143e-06
anywhere,7.142857142857143e-06
ao,0.00045714285714285713
aorus,0.0
ap,0.0012714285714285714
apacer,1.4285714285714285e-05
apache,7.142857142857143e-06
apaisac,0.0
aparat,0.0
apcer,7.142857142857143e-06
apedra,7.142857142857143e-06
aperture,7.142857142857143e-06
apex,0.0
aphine,7.142857142857143e-06
api,5e-05
apk,2.1428571428571428e-05
apkmirror,7.142857142857143e-06
aplee,7.142857142857143e-06
apm,7.142857142857143e-06
apn,0.0
apocalypse,0.0
apoint,0.0
apologies,0.0
apothecary,7.142857142857143e-06
app,0.0004214285714285714
apple,0.00010714285714285714
applejack,0.0
applenic,0.0
